term,tree,l1,l2,l3,l4,l5,l6,l7
Heartwater Disease,C01.252.400.825.300,C01,252,400,825,300,,
Lyme Disease,C01.252.400.825.480,C01,252,400,825,480,,
Erythema Chronicum Migrans,C01.252.400.825.480.400,C01,252,400,825,480,400,
Lyme Neuroborreliosis,C01.252.400.825.480.700,C01,252,400,825,480,700,
Relapsing Fever,C01.252.400.825.750,C01,252,400,825,750,,
Rocky Mountain Spotted Fever,C01.252.400.825.775,C01,252,400,825,775,,
Tularemia,C01.252.400.825.900,C01,252,400,825,900,,
Treponemal Infections,C01.252.400.840,C01,252,400,840,,,
Pinta,C01.252.400.840.558,C01,252,400,840,558,,
Syphilis,C01.252.400.840.744,C01,252,400,840,744,,
Chancre,C01.252.400.840.744.161,C01,252,400,840,744,161,
Neurosyphilis,C01.252.400.840.744.456,C01,252,400,840,744,456,
Tabes Dorsalis,C01.252.400.840.744.456.778,C01,252,400,840,744,456,778
"Syphilis, Cardiovascular",C01.252.400.840.744.657,C01,252,400,840,744,657,
"Syphilis, Congenital",C01.252.400.840.744.725,C01,252,400,840,744,725,
"Syphilis, Cutaneous",C01.252.400.840.744.800,C01,252,400,840,744,800,
"Syphilis, Latent",C01.252.400.840.744.871,C01,252,400,840,744,871,
Yaws,C01.252.400.840.892,C01,252,400,840,892,,
Tularemia,C01.252.400.939,C01,252,400,939,,,
Vibrio Infections,C01.252.400.959,C01,252,400,959,,,
Cholera,C01.252.400.959.347,C01,252,400,959,347,,
Gram-Positive Bacterial Infections,C01.252.410,C01,252,410,,,,
Actinomycetales Infections,C01.252.410.040,C01,252,410,40,,,
Actinomycosis,C01.252.410.040.137,C01,252,410,40,137,,
"Actinomycosis, Cervicofacial",C01.252.410.040.137.262,C01,252,410,40,137,262,
Whipple Disease,C01.252.410.040.137.631,C01,252,410,40,137,631,
Corynebacterium Infections,C01.252.410.040.246,C01,252,410,40,246,,
Diphtheria,C01.252.410.040.246.388,C01,252,410,40,246,388,
Erythrasma,C01.252.410.040.246.430,C01,252,410,40,246,430,
Mycobacterium Infections,C01.252.410.040.552,C01,252,410,40,552,,
Leprosy,C01.252.410.040.552.386,C01,252,410,40,552,386,
"Leprosy, Multibacillary",C01.252.410.040.552.386.775,C01,252,410,40,552,386,775
"Leprosy, Lepromatous",C01.252.410.040.552.386.775.500,C01,252,410,40,552,386,775
"Leprosy, Paucibacillary",C01.252.410.040.552.386.850,C01,252,410,40,552,386,850
"Leprosy, Borderline",C01.252.410.040.552.386.850.249,C01,252,410,40,552,386,850
"Leprosy, Tuberculoid",C01.252.410.040.552.386.850.500,C01,252,410,40,552,386,850
"Mycobacterium Infections, Nontuberculous",C01.252.410.040.552.475,C01,252,410,40,552,475,
Buruli Ulcer,C01.252.410.040.552.475.247,C01,252,410,40,552,475,247
Mycobacterium avium-intracellulare Infection,C01.252.410.040.552.475.495,C01,252,410,40,552,475,495
Paratuberculosis,C01.252.410.040.552.588,C01,252,410,40,552,588,
Tuberculosis,C01.252.410.040.552.846,C01,252,410,40,552,846,
Latent Tuberculosis,C01.252.410.040.552.846.122,C01,252,410,40,552,846,122
"Peritonitis, Tuberculous",C01.252.410.040.552.846.246,C01,252,410,40,552,846,246
Tuberculoma,C01.252.410.040.552.846.493,C01,252,410,40,552,846,493
"Tuberculoma, Intracranial",C01.252.410.040.552.846.493.400,C01,252,410,40,552,846,493
"Tuberculosis, Avian",C01.252.410.040.552.846.516,C01,252,410,40,552,846,516
"Tuberculosis, Bovine",C01.252.410.040.552.846.538,C01,252,410,40,552,846,538
"Tuberculosis, Cardiovascular",C01.252.410.040.552.846.561,C01,252,410,40,552,846,561
"Pericarditis, Tuberculous",C01.252.410.040.552.846.561.595,C01,252,410,40,552,846,561
"Tuberculosis, Central Nervous System",C01.252.410.040.552.846.570,C01,252,410,40,552,846,570
"Tuberculoma, Intracranial",C01.252.410.040.552.846.570.300,C01,252,410,40,552,846,570
"Tuberculosis, Meningeal",C01.252.410.040.552.846.570.600,C01,252,410,40,552,846,570
"Tuberculosis, Cutaneous",C01.252.410.040.552.846.583,C01,252,410,40,552,846,583
Erythema Induratum,C01.252.410.040.552.846.583.260,C01,252,410,40,552,846,583
Lupus Vulgaris,C01.252.410.040.552.846.583.470,C01,252,410,40,552,846,583
"Tuberculosis, Endocrine",C01.252.410.040.552.846.606,C01,252,410,40,552,846,606
"Tuberculosis, Gastrointestinal",C01.252.410.040.552.846.628,C01,252,410,40,552,846,628
"Tuberculosis, Hepatic",C01.252.410.040.552.846.651,C01,252,410,40,552,846,651
"Tuberculosis, Laryngeal",C01.252.410.040.552.846.696,C01,252,410,40,552,846,696
"Tuberculosis, Lymph Node",C01.252.410.040.552.846.719,C01,252,410,40,552,846,719
King's Evil,C01.252.410.040.552.846.719.500,C01,252,410,40,552,846,719
"Tuberculosis, Miliary",C01.252.410.040.552.846.764,C01,252,410,40,552,846,764
"Tuberculosis, Multidrug-Resistant",C01.252.410.040.552.846.775,C01,252,410,40,552,846,775
Extensively Drug-Resistant Tuberculosis,C01.252.410.040.552.846.775.500,C01,252,410,40,552,846,775
"Tuberculosis, Ocular",C01.252.410.040.552.846.786,C01,252,410,40,552,846,786
"Tuberculosis, Oral",C01.252.410.040.552.846.809,C01,252,410,40,552,846,809
"Tuberculosis, Osteoarticular",C01.252.410.040.552.846.831,C01,252,410,40,552,846,831
"Tuberculosis, Spinal",C01.252.410.040.552.846.831.722,C01,252,410,40,552,846,831
"Tuberculosis, Pleural",C01.252.410.040.552.846.877,C01,252,410,40,552,846,877
"Empyema, Tuberculous",C01.252.410.040.552.846.877.405,C01,252,410,40,552,846,877
"Tuberculosis, Pulmonary",C01.252.410.040.552.846.899,C01,252,410,40,552,846,899
Silicotuberculosis,C01.252.410.040.552.846.899.669,C01,252,410,40,552,846,899
"Tuberculosis, Splenic",C01.252.410.040.552.846.922,C01,252,410,40,552,846,922
"Tuberculosis, Urogenital",C01.252.410.040.552.846.944,C01,252,410,40,552,846,944
"Tuberculosis, Female Genital",C01.252.410.040.552.846.944.596,C01,252,410,40,552,846,944
"Tuberculosis, Male Genital",C01.252.410.040.552.846.944.721,C01,252,410,40,552,846,944
"Tuberculosis, Renal",C01.252.410.040.552.846.944.847,C01,252,410,40,552,846,944
Nocardia Infections,C01.252.410.040.692,C01,252,410,40,692,,
Mycetoma,C01.252.410.040.692.606,C01,252,410,40,692,606,
Bacillaceae Infections,C01.252.410.090,C01,252,410,90,,,
Anthrax,C01.252.410.090.072,C01,252,410,90,72,,
Bifidobacteriales Infections,C01.252.410.110,C01,252,410,110,,,
Clostridium Infections,C01.252.410.222,C01,252,410,222,,,
Botulism,C01.252.410.222.151,C01,252,410,222,151,,
"Enterocolitis, Pseudomembranous",C01.252.410.222.310,C01,252,410,222,310,,
Enterotoxemia,C01.252.410.222.325,C01,252,410,222,325,,
Gas Gangrene,C01.252.410.222.440,C01,252,410,222,440,,
Tetanus,C01.252.410.222.864,C01,252,410,222,864,,
Erysipelothrix Infections,C01.252.410.334,C01,252,410,334,,,
Erysipeloid,C01.252.410.334.329,C01,252,410,334,329,,
Swine Erysipelas,C01.252.410.334.776,C01,252,410,334,776,,
Listeriosis,C01.252.410.514,C01,252,410,514,,,
"Meningitis, Listeria",C01.252.410.514.533,C01,252,410,514,533,,
Staphylococcal Infections,C01.252.410.868,C01,252,410,868,,,
"Pneumonia, Staphylococcal",C01.252.410.868.675,C01,252,410,868,675,,
Staphylococcal Food Poisoning,C01.252.410.868.806,C01,252,410,868,806,,
Staphylococcal Skin Infections,C01.252.410.868.820,C01,252,410,868,820,,
Furunculosis,C01.252.410.868.820.270,C01,252,410,868,820,270,
Carbuncle,C01.252.410.868.820.270.200,C01,252,410,868,820,270,200
Impetigo,C01.252.410.868.820.504,C01,252,410,868,820,504,
Staphylococcal Scalded Skin Syndrome,C01.252.410.868.820.770,C01,252,410,868,820,770,
Streptococcal Infections,C01.252.410.890,C01,252,410,890,,,
Ecthyma,C01.252.410.890.210,C01,252,410,890,210,,
"Endocarditis, Subacute Bacterial",C01.252.410.890.240,C01,252,410,890,240,,
Erysipelas,C01.252.410.890.328,C01,252,410,890,328,,
Impetigo,C01.252.410.890.485,C01,252,410,890,485,,
Pneumococcal Infections,C01.252.410.890.670,C01,252,410,890,670,,
"Meningitis, Pneumococcal",C01.252.410.890.670.595,C01,252,410,890,670,595,
"Pneumonia, Pneumococcal",C01.252.410.890.670.750,C01,252,410,890,670,750,
Rheumatic Fever,C01.252.410.890.731,C01,252,410,890,731,,
Rheumatic Heart Disease,C01.252.410.890.731.649,C01,252,410,890,731,649,
Scarlet Fever,C01.252.410.890.823,C01,252,410,890,823,,
"Pneumonia, Bacterial",C01.252.620,C01,252,620,,,,
Chlamydial Pneumonia,C01.252.620.249,C01,252,620,249,,,
"Pneumonia, Mycoplasma",C01.252.620.500,C01,252,620,500,,,
"Pneumonia of Calves, Enzootic",C01.252.620.530,C01,252,620,530,,,
"Pneumonia of Swine, Mycoplasmal",C01.252.620.540,C01,252,620,540,,,
"Pneumonia, Pneumococcal",C01.252.620.550,C01,252,620,550,,,
"Pneumonia, Rickettsial",C01.252.620.600,C01,252,620,600,,,
"Pneumonia, Staphylococcal",C01.252.620.620,C01,252,620,620,,,
"Sexually Transmitted Diseases, Bacterial",C01.252.810,C01,252,810,,,,
Chancroid,C01.252.810.201,C01,252,810,201,,,
Chlamydia Infections,C01.252.810.301,C01,252,810,301,,,
Lymphogranuloma Venereum,C01.252.810.301.490,C01,252,810,301,490,,
Gonorrhea,C01.252.810.401,C01,252,810,401,,,
Granuloma Inguinale,C01.252.810.451,C01,252,810,451,,,
Syphilis,C01.252.810.859,C01,252,810,859,,,
"Skin Diseases, Bacterial",C01.252.825,C01,252,825,,,,
"Actinomycosis, Cervicofacial",C01.252.825.110,C01,252,825,110,,,
"Angiomatosis, Bacillary",C01.252.825.150,C01,252,825,150,,,
Digital Dermatitis,C01.252.825.180,C01,252,825,180,,,
Ecthyma,C01.252.825.210,C01,252,825,210,,,
Erysipelas,C01.252.825.260,C01,252,825,260,,,
Erythema Chronicum Migrans,C01.252.825.310,C01,252,825,310,,,
Erythrasma,C01.252.825.320,C01,252,825,320,,,
"Fasciitis, Necrotizing",C01.252.825.340,C01,252,825,340,,,
Granuloma Inguinale,C01.252.825.360,C01,252,825,360,,,
Hidradenitis Suppurativa,C01.252.825.420,C01,252,825,420,,,
Mycetoma,C01.252.825.557,C01,252,825,557,,,
Pinta,C01.252.825.630,C01,252,825,630,,,
Rhinoscleroma,C01.252.825.705,C01,252,825,705,,,
Staphylococcal Skin Infections,C01.252.825.770,C01,252,825,770,,,
Furunculosis,C01.252.825.770.270,C01,252,825,770,270,,
Carbuncle,C01.252.825.770.270.200,C01,252,825,770,270,200,
Impetigo,C01.252.825.770.360,C01,252,825,770,360,,
Staphylococcal Scalded Skin Syndrome,C01.252.825.770.770,C01,252,825,770,770,,
"Syphilis, Cutaneous",C01.252.825.790,C01,252,825,790,,,
"Tuberculosis, Cutaneous",C01.252.825.820,C01,252,825,820,,,
Erythema Induratum,C01.252.825.820.260,C01,252,825,820,260,,
Lupus Vulgaris,C01.252.825.820.470,C01,252,825,820,470,,
Yaws,C01.252.825.910,C01,252,825,910,,,
Spirochaetales Infections,C01.252.847,C01,252,847,,,,
Borrelia Infections,C01.252.847.193,C01,252,847,193,,,
Lyme Disease,C01.252.847.193.569,C01,252,847,193,569,,
Erythema Chronicum Migrans,C01.252.847.193.569.200,C01,252,847,193,569,200,
Lyme Neuroborreliosis,C01.252.847.193.569.600,C01,252,847,193,569,600,
Relapsing Fever,C01.252.847.193.644,C01,252,847,193,644,,
Leptospirosis,C01.252.847.511,C01,252,847,511,,,
Weil Disease,C01.252.847.511.739,C01,252,847,511,739,,
Treponemal Infections,C01.252.847.840,C01,252,847,840,,,
Pinta,C01.252.847.840.558,C01,252,847,840,558,,
Syphilis,C01.252.847.840.744,C01,252,847,840,744,,
Chancre,C01.252.847.840.744.161,C01,252,847,840,744,161,
Neurosyphilis,C01.252.847.840.744.456,C01,252,847,840,744,456,
Tabes Dorsalis,C01.252.847.840.744.456.778,C01,252,847,840,744,456,778
"Syphilis, Cardiovascular",C01.252.847.840.744.657,C01,252,847,840,744,657,
"Syphilis, Congenital",C01.252.847.840.744.725,C01,252,847,840,744,725,
"Syphilis, Cutaneous",C01.252.847.840.744.800,C01,252,847,840,744,800,
"Syphilis, Latent",C01.252.847.840.744.871,C01,252,847,840,744,871,
Yaws,C01.252.847.840.892,C01,252,847,840,892,,
"Vaginosis, Bacterial",C01.252.954,C01,252,954,,,,
Brain Abscess,C01.323,C01,323,,,,,
"Toxoplasmosis, Cerebral",C01.323.800,C01,323,800,,,,
Central Nervous System Infections,C01.395,C01,395,,,,,
Central Nervous System Bacterial Infections,C01.395.500,C01,395,500,,,,
"Empyema, Subdural",C01.395.750,C01,395,750,,,,
Infection,C01.539,C01,539,,,,,
"Aneurysm, Infected",C01.539.069,C01,539,69,,,,
"Arthritis, Infectious",C01.539.100,C01,539,100,,,,
"Arthritis, Reactive",C01.539.100.500,C01,539,100,500,,,
"Bone Diseases, Infectious",C01.539.160,C01,539,160,,,,
Osteitis,C01.539.160.412,C01,539,160,412,,,
Osteomyelitis,C01.539.160.495,C01,539,160,495,,,
Mastoiditis,C01.539.160.495.500,C01,539,160,495,500,,
Petrositis,C01.539.160.495.750,C01,539,160,495,750,,
Pott Puffy Tumor,C01.539.160.495.875,C01,539,160,495,875,,
Periostitis,C01.539.160.595,C01,539,160,595,,,
Spondylitis,C01.539.160.762,C01,539,160,762,,,
Discitis,C01.539.160.762.301,C01,539,160,762,301,,
"Tuberculosis, Osteoarticular",C01.539.160.886,C01,539,160,886,,,
"Tuberculosis, Spinal",C01.539.160.886.722,C01,539,160,886,722,,
Cardiovascular Infections,C01.539.190,C01,539,190,,,,
"Endocarditis, Bacterial",C01.539.190.249,C01,539,190,249,,,
"Endocarditis, Subacute Bacterial",C01.539.190.249.407,C01,539,190,249,407,,
"Syphilis, Cardiovascular",C01.539.190.500,C01,539,190,500,,,
"Tuberculosis, Cardiovascular",C01.539.190.750,C01,539,190,750,,,
"Pericarditis, Tuberculous",C01.539.190.750.595,C01,539,190,750,595,,
Catheter-Related Infections,C01.539.195,C01,539,195,,,,
Coinfection,C01.539.218,C01,539,218,,,,
Communicable Diseases,C01.539.221,C01,539,221,,,,
"Communicable Diseases, Emerging",C01.539.221.500,C01,539,221,500,,,
Community-Acquired Infections,C01.539.234,C01,539,234,,,,
Cross Infection,C01.539.248,C01,539,248,,,,
"Pneumonia, Ventilator-Associated",C01.539.248.500,C01,539,248,500,,,
Eye Infections,C01.539.375,C01,539,375,,,,
Corneal Ulcer,C01.539.375.177,C01,539,375,177,,,
Endophthalmitis,C01.539.375.265,C01,539,375,265,,,
"Uveitis, Suppurative",C01.539.375.265.500,C01,539,375,265,500,,
"Eye Infections, Bacterial",C01.539.375.354,C01,539,375,354,,,
"Conjunctivitis, Bacterial",C01.539.375.354.220,C01,539,375,354,220,,
"Conjunctivitis, Inclusion",C01.539.375.354.220.250,C01,539,375,354,220,250,
Ophthalmia Neonatorum,C01.539.375.354.220.625,C01,539,375,354,220,625,
Trachoma,C01.539.375.354.220.800,C01,539,375,354,220,800,
Hordeolum,C01.539.375.354.400,C01,539,375,354,400,,
"Keratoconjunctivitis, Infectious",C01.539.375.354.450,C01,539,375,354,450,,
"Tuberculosis, Ocular",C01.539.375.354.800,C01,539,375,354,800,,
"Uveitis, Suppurative",C01.539.375.354.900,C01,539,375,354,900,,
Panophthalmitis,C01.539.375.354.900.675,C01,539,375,354,900,675,
"Eye Infections, Fungal",C01.539.375.450,C01,539,375,450,,,
"Uveitis, Suppurative",C01.539.375.450.900,C01,539,375,450,900,,
Panophthalmitis,C01.539.375.450.900.675,C01,539,375,450,900,675,
Focal Infection,C01.539.392,C01,539,392,,,,
"Focal Infection, Dental",C01.539.392.433,C01,539,392,433,,,
"Gingivitis, Necrotizing Ulcerative",C01.539.424,C01,539,424,,,,
Intraabdominal Infections,C01.539.463,C01,539,463,,,,
Appendicitis,C01.539.463.099,C01,539,463,99,,,
Diverticulitis,C01.539.463.298,C01,539,463,298,,,
Peritonitis,C01.539.463.600,C01,539,463,600,,,
"Peritonitis, Tuberculous",C01.539.463.600.249,C01,539,463,600,249,,
Subphrenic Abscess,C01.539.463.600.500,C01,539,463,600,500,,
Typhlitis,C01.539.463.850,C01,539,463,850,,,
Laboratory Infection,C01.539.503,C01,539,503,,,,
Ludwig's Angina,C01.539.535,C01,539,535,,,,
Opportunistic Infections,C01.539.597,C01,539,597,,,,
AIDS-Related Opportunistic Infections,C01.539.597.050,C01,539,597,50,,,
Superinfection,C01.539.597.880,C01,539,597,880,,,
Pelvic Infection,C01.539.635,C01,539,635,,,,
Pelvic Inflammatory Disease,C01.539.635.500,C01,539,635,500,,,
"Pregnancy Complications, Infectious",C01.539.674,C01,539,674,,,,
"Abortion, Septic",C01.539.674.173,C01,539,674,173,,,
Puerperal Infection,C01.539.674.715,C01,539,674,715,,,
Prosthesis-Related Infections,C01.539.685,C01,539,685,,,,
Reproductive Tract Infections,C01.539.730,C01,539,730,,,,
Respiratory Tract Infections,C01.539.739,C01,539,739,,,,
"Empyema, Pleural",C01.539.739.484,C01,539,739,484,,,
"Empyema, Tuberculous",C01.539.739.484.320,C01,539,739,484,320,,
Whooping Cough,C01.539.739.969,C01,539,739,969,,,
Sepsis,C01.539.757,C01,539,757,,,,
Bacteremia,C01.539.757.100,C01,539,757,100,,,
Endotoxemia,C01.539.757.100.275,C01,539,757,100,275,,
Hemorrhagic Septicemia,C01.539.757.100.375,C01,539,757,100,375,,
Fungemia,C01.539.757.360,C01,539,757,360,,,
Candidemia,C01.539.757.360.150,C01,539,757,360,150,,
"Shock, Septic",C01.539.757.800,C01,539,757,800,,,
Sexually Transmitted Diseases,C01.539.778,C01,539,778,,,,
"Sexually Transmitted Diseases, Bacterial",C01.539.778.281,C01,539,778,281,,,
Chancroid,C01.539.778.281.201,C01,539,778,281,201,,
Chlamydia Infections,C01.539.778.281.301,C01,539,778,281,301,,
Lymphogranuloma Venereum,C01.539.778.281.301.490,C01,539,778,281,301,490,
Gonorrhea,C01.539.778.281.401,C01,539,778,281,401,,
Granuloma Inguinale,C01.539.778.281.451,C01,539,778,281,451,,
Syphilis,C01.539.778.281.859,C01,539,778,281,859,,
"Skin Diseases, Infectious",C01.539.800,C01,539,800,,,,
Cellulitis,C01.539.800.130,C01,539,800,130,,,
Dermatomycoses,C01.539.800.200,C01,539,800,200,,,
Blastomycosis,C01.539.800.200.055,C01,539,800,200,55,,
"Candidiasis, Chronic Mucocutaneous",C01.539.800.200.100,C01,539,800,200,100,,
"Candidiasis, Cutaneous",C01.539.800.200.105,C01,539,800,200,105,,
Chromoblastomycosis,C01.539.800.200.110,C01,539,800,200,110,,
Hyalohyphomycosis,C01.539.800.200.383,C01,539,800,200,383,,
Aspergillosis,C01.539.800.200.383.249,C01,539,800,200,383,249,
"Aspergillosis, Allergic Bronchopulmonary",C01.539.800.200.383.249.074,C01,539,800,200,383,249,74
Fusariosis,C01.539.800.200.383.500,C01,539,800,200,383,500,
Lobomycosis,C01.539.800.200.475,C01,539,800,200,475,,
Mycetoma,C01.539.800.200.500,C01,539,800,200,500,,
Paracoccidioidomycosis,C01.539.800.200.600,C01,539,800,200,600,,
Phaeohyphomycosis,C01.539.800.200.637,C01,539,800,200,637,,
Sporotrichosis,C01.539.800.200.675,C01,539,800,200,675,,
Tinea,C01.539.800.200.720,C01,539,800,200,720,,
Onychomycosis,C01.539.800.200.720.550,C01,539,800,200,720,550,
Tinea Capitis,C01.539.800.200.720.730,C01,539,800,200,720,730,
Tinea Favosa,C01.539.800.200.720.730.740,C01,539,800,200,720,730,740
Tinea Pedis,C01.539.800.200.720.760,C01,539,800,200,720,760,
Tinea Versicolor,C01.539.800.200.860,C01,539,800,200,860,,
Paronychia,C01.539.800.460,C01,539,800,460,,,
"Skin Diseases, Bacterial",C01.539.800.720,C01,539,800,720,,,
"Actinomycosis, Cervicofacial",C01.539.800.720.110,C01,539,800,720,110,,
"Angiomatosis, Bacillary",C01.539.800.720.150,C01,539,800,720,150,,
Digital Dermatitis,C01.539.800.720.180,C01,539,800,720,180,,
Ecthyma,C01.539.800.720.210,C01,539,800,720,210,,
Erysipelas,C01.539.800.720.260,C01,539,800,720,260,,
Erythema Chronicum Migrans,C01.539.800.720.310,C01,539,800,720,310,,
Erythrasma,C01.539.800.720.320,C01,539,800,720,320,,
Granuloma Inguinale,C01.539.800.720.360,C01,539,800,720,360,,
Hidradenitis Suppurativa,C01.539.800.720.420,C01,539,800,720,420,,
Mycetoma,C01.539.800.720.557,C01,539,800,720,557,,
Pinta,C01.539.800.720.630,C01,539,800,720,630,,
Rhinoscleroma,C01.539.800.720.705,C01,539,800,720,705,,
Staphylococcal Skin Infections,C01.539.800.720.770,C01,539,800,720,770,,
Furunculosis,C01.539.800.720.770.270,C01,539,800,720,770,270,
Carbuncle,C01.539.800.720.770.270.200,C01,539,800,720,770,270,200
Impetigo,C01.539.800.720.770.360,C01,539,800,720,770,360,
Staphylococcal Scalded Skin Syndrome,C01.539.800.720.770.770,C01,539,800,720,770,770,
"Syphilis, Cutaneous",C01.539.800.720.790,C01,539,800,720,790,,
"Tuberculosis, Cutaneous",C01.539.800.720.820,C01,539,800,720,820,,
Erythema Induratum,C01.539.800.720.820.260,C01,539,800,720,820,260,
Lupus Vulgaris,C01.539.800.720.820.470,C01,539,800,720,820,470,
Yaws,C01.539.800.720.910,C01,539,800,720,910,,
Soft Tissue Infections,C01.539.820,C01,539,820,,,,
Suppuration,C01.539.830,C01,539,830,,,,
Abscess,C01.539.830.025,C01,539,830,25,,,
Abdominal Abscess,C01.539.830.025.020,C01,539,830,25,20,,
Liver Abscess,C01.539.830.025.020.455,C01,539,830,25,20,455,
"Liver Abscess, Amebic",C01.539.830.025.020.455.460,C01,539,830,25,20,455,460
"Liver Abscess, Pyogenic",C01.539.830.025.020.455.730,C01,539,830,25,20,455,730
Subphrenic Abscess,C01.539.830.025.020.810,C01,539,830,25,20,810,
Brain Abscess,C01.539.830.025.160,C01,539,830,25,160,,
"Toxoplasmosis, Cerebral",C01.539.830.025.160.800,C01,539,830,25,160,800,
Epidural Abscess,C01.539.830.025.325,C01,539,830,25,325,,
Lung Abscess,C01.539.830.025.490,C01,539,830,25,490,,
Periapical Abscess,C01.539.830.025.650,C01,539,830,25,650,,
Periodontal Abscess,C01.539.830.025.665,C01,539,830,25,665,,
Peritonsillar Abscess,C01.539.830.025.675,C01,539,830,25,675,,
